model_path,"img_old,label_old","img_new,label_old","img_old,label_new","img_new,label_new",dataset,type,finetuned
Llava1.5,0.6507310943568654,0.2052090472926662,0.1685515193054603,0.6003198537811285,WebQA,feat,0
Llava1.5,0.4705277587388622,0.2354352296093214,0.1559287183002056,0.6240575736806031,WebQA,feat,1
Qwen2,0.7265138154027042,0.2600480109739368,0.2340763603109281,0.5992569730224051,WebQA,feat,0
Qwen2,0.4965729952021933,0.2659355723098012,0.157642220699109,0.681631254283756,WebQA,feat,1
Phi3,0.5582019648160841,0.2396961389079278,0.1920265021704363,0.4566385978654655,WebQA,feat,0
Phi3,0.5085675119945168,0.2025359835503769,0.1583276216586703,0.6901987662782728,WebQA,feat,1
Llava1.5,0.5673015873015874,0.3571428571428571,0.0,0.0,WebQA,conf,0
Llava1.5,0.0,0.0057142857142857,1.0,0.979047619047619,WebQA,conf,1
Qwen2,0.6863215084691595,0.3773113272154499,0.0,0.0009587727708533,WebQA,conf,0
Qwen2,0.1047619047619047,0.0085714285714285,0.8342857142857143,0.9828571428571428,WebQA,conf,1
Phi3,0.4939682539682539,0.2973015873015873,0.0,0.0019047619047619,WebQA,conf,0
Phi3,0.0609523809523809,0.0219047619047619,0.939047619047619,0.9428571428571428,WebQA,conf,1
Llava1.5,0.4513618677042801,0.4163424124513619,0.0038910505836575,0.0038910505836575,WebQA,counter,0
Llava1.5,0.5369649805447471,0.1634241245136186,0.0116731517509727,0.6964980544747081,WebQA,counter,1
Qwen2,0.5058365758754864,0.3832684824902724,0.0350194552529182,0.1634241245136186,WebQA,counter,0
Qwen2,0.5603112840466926,0.0661478599221789,0.0505836575875486,0.8365758754863813,WebQA,counter,1
Phi3,0.4766536964980545,0.3424124513618677,0.0583657587548638,0.1167315175097276,WebQA,counter,0
Phi3,0.5486381322957199,0.1906614785992217,0.0350194552529182,0.6381322957198443,WebQA,counter,1
Llava1.5,0.6054644808743169,0.3928961748633879,0.0234972677595628,0.0360655737704918,VQA,counter,0
Llava1.5,0.6584699453551912,0.292896174863388,0.0125683060109289,0.9,VQA,counter,1
Qwen2,0.6202185792349727,0.3256830601092896,0.101639344262295,0.3,VQA,counter,0
Qwen2,0.6819672131147541,0.2819672131147541,0.0092896174863387,0.9923497267759562,VQA,counter,1
Phi3,0.4639344262295082,0.248087431693989,0.1065573770491803,0.2683060109289617,VQA,counter,0
Phi3,0.6573770491803279,0.2830601092896175,0.0131147540983606,0.987431693989071,VQA,counter,1
Llava1.5,0.5337552742616034,0.2721518987341772,0.0527426160337552,0.0675105485232067,OKVQA,counter,0
Llava1.5,0.4282700421940928,0.0759493670886076,0.0084388185654008,0.6645569620253164,OKVQA,counter,1
Qwen2,0.620253164556962,0.229957805907173,0.0590717299578059,0.1751054852320675,OKVQA,counter,0
Qwen2,0.4894514767932489,0.010548523206751,0.0084388185654008,0.9662447257383966,OKVQA,counter,1
Phi3,0.4324894514767932,0.1476793248945147,0.0991561181434599,0.2974683544303797,OKVQA,counter,0
Phi3,0.4472573839662447,0.0253164556962025,0.0168776371308016,0.8734177215189873,OKVQA,counter,1
